Inventaire?,N° réf,Jeux,Classification ludothèque COL,COL adapté 1,COL adapté 2,Etat,Âge,Duree,Nbre de joueurs,Thème,Prix neuf,Jeton(s),A vendre?,Poids,Nbre de cartes,Dimension cartes,don provenance?,Date d'entrée,trictrac,titre officiel,annee de sortie,illustrateur,image_editeur,auteur,,editeur,description,caractéristique,mécanisme,Commentaires,Année de rentrée,Enfants / Adultes,Manque,Inventaire,dernier inventaire,liens vers video régles
A vendre,260,Amédé,R,EXP,EXP,Bon,2,10,1 - 3,LSF,20,2,,900 gr,48,70*90,,11-06-2016,,,,,,,,‎Patte d’ourse,,,,,2015-2016,Adultes,,48 tuiles + 3 pions + 1 dès + 1 livret ,06/08/2019,
vendu,261,Mystères de pekin (les),R,ENQ,ENQ,Abimé,8,30,2 - 6,Asie,29,2,,,108,,Damien,11-06-2016,,,,,,,,Lansay,,,,,2015-2016,Enfants,"1 carte personnage (Mme Dia-Mang), 1 carte espion
1 grille coupable en trop","6 pions + 60 cartes de personnages + 12 cartes ""le sage"" + 12 carte ""espion"" + 24 cartes ""indic"" + 4 discs dragon + 4 grilles de coupable + livret enigme + un bloc de feuille indice + 3 décodeurs + 1 carte écran + 1 dès ",12/08/2019,
ok,262,Camelot,R,COM,COM,Bon,10,40,2 - 5,Médiéval,18,1,,,110,,,11-06-2016,,,,,,,,Asmodée,,,,,2015-2016,Adultes,1 cartes déchirée (retraite) + 2 jetons en plus,70 cartes de couleurs + 20 cartes de soutiens + 20 cartes d'action + 25 jetons,09/08/2019,
ok,263,Gobbit,R,ADR,ADR,Bon,6,30,2 - 8,Animaux,16,1,,,,,,06-09-2016,,,,,,,,OldChap Editions,,,,,2016-2017,Adultes,,"54 cartes (12 bleu, 12 jaunes, 12 rouges, 9 bicolores, 3 gorilles), 1 règle de jeu",01/08/2019,
A vendre,264,Ripoux (Les),R,REF,REF,Bon,12,,2 - 6,Enquête,15,1,oui,,122,,Don Philip,11-06-2016,,,,,,,,‎Schmidt,,,,,2015-2016,Adultes,3 cartes ; 1 tickets taxe; 1 jetons 10 pts flic; ,"1 plateau de jeu + 1 dès à 20 faces + 1 dès à 6 faces + 6 pions + 6 petits chevaux + des billets +122 cartes + 60 tickets taxés + 22 tickets blanc + 20 jetons ""10 points de flic"" + 60 jetons ""1 point de lfic""",30/07/2019,
ok,265,Colt Express,R,REF,REF,Sous Blister,10,45,2 - 6,Western,35,2,,,132,,Asmodee,01-11-2015,,,,,,,,Asmodée,,,,,2015-2016,Adultes,,"6 wagons + 1 locomotive +10 éléments de décor + 26 jetons butin (18 bourses, 6 bijoux, 2 cagnottes) + 1 pion marshal + 6 plateaux joueur + 6 pions joueur",02/08/2019,
ok,266,Potion Explosion,R,COM,COM,Bon,12,45,2 - 4,Fantastique,36,2,,,,,,02-09-2016,,,,,,,,Edge,,,,,2016-2017,Adultes,,"1 règle, 1 distributeur carton, 80 billes (+10), 64 tuiles potion, 15 pions compétence, 21 pions coup de pouce, 1 pion premier joueur, 4 plateaux paillasse",,
ok,267,Catan,R,REF,REF,Bon,10,75,3 - 4,Médiéval,36,2,,,,,,02-09-2016,,,,,,,,Kosmos,,,,,2016-2017,Adultes,1 cartes chevalier; 1 cartes progrés,"19 tuiles terrain, 6 pieces cadres, 95 cartes ressources, 25 cartes developpement, 4 fiches aides de jeux, 2 fiches spécial, 2 range cartes, pour chaque couleurs (4 villes, 5 colonies et 15 routes) et 18 jetons alphabet, 2 dés, 1 pion voleur",04/08/2019,
ok,268,War at sea,R,REF,REF,Bon,12,60,,Guerre,20,2,,,,,Sylvie,11-06-2016,,,,,,,,Avalon Hill,,,,,2015-2016,Adultes,,"48 cartes verte, 20 bleues foncées, 12 bleues claires, 10 cartes drapeaux, 52 cartes points domages, 4 dés et 1 plateau + regles",12/08/2019,
ok,269,Trésor des lutins (Le),R,PAR,PAR,Bon,4,20,2 - 4,Fantastique,18,1,,,,,,11-06-2016,,,,,,,,Gigamic,,,,,2015-2016,Adultes,1 tuiles chemin,27 tuiles chemin + 10 tuiles dragon + 4 jetons clefs + 2 dès spéciaux + 1 jetons sucrerie + 1 plateau + 1 règle,02/08/2019,
vendu,270,Boîte à énigmes (La),R,ENQ,ENQ,Usé,16,30,2 +,Médiéval,25,2,oui,451,96,131*71,Don de Damien,01-11-2013,http://www.trictrac.net/jeu-de-societe/la-boite-a-enigmes/infos,La Boîte à Énigmes,2008,Ivan Sigg,,Fabrice Mazza,,Marabout,,,,,2013-2014,Adultes,,"96 cartes (16 mots, 16 lettrerébus, 16 manipulations, 16 observation, 16 chiffres, 16 logique), 1 règle du jeu, 6 intercalaires 1 livret solution",08/11/2018,
ok,271,Seasons,R,REF,REF,Bon,14,60,2 - 4,Fantastique,35,2,,,,,,06-09-2016,,,,,,,,Libellud,,,,,2016-2017,Adultes,- 1 jetons terre,"1 plateau jeu, 1 piste cristaux, 1 marqueur année et 1 marqueur saison, 4 plateaux individuels, 8 jetons biblio, 16 pions sorcier, 20 dés, 40 cartes pouvoir avancé, 60 cartes pouvoir de bases et 64 jetons énergies",09/08/2019,
ok,272,7 Wonders,R,REF,REF,Bon,10,45,2 - 7,Antiquité,35,2,,,,,,18-01-2016,,,,,,,,Asmodée,,,,,2015-2016,Adultes,,"7 plateaux merveilles, 7 cartes merveilles, 49 cartes age 1, 49 cartes ages 2, 50 cartes age 3, 46 jetons conflit, 24 pieces valeurs 3, 46 pieces valeurs 1, 1 carnet score, 1 livret rêgles, 1 aide de jeu et 2 cartes 2 joueurs",31/07/2019,
,273,Plan barbarossa,R,REF,REF,Abimé,15,240,2,Guerre,20,2,,,,,,11-06-2016,,,,,,,,Jeux Descartes,,,,,2015-2016,Adultes,,"1 règle, 2 plateaux, 1 dé, 4 punaises, 25 jetons orange foncé, 28 jetons verts clair, 16 jetons noirs, 63 jetons marrons, 9 jetons blancs à point noir, 3 jetons fushia, 3 jetons bleu foncé, 1 jeton rouge foncé, 1 jeton vert foncé, 27 jetons orange",12/08/2013,
ok,274,Splendor,R,COM,COM,Bon,10,30,2 - 4,Commerce,27,2,,,,,,06-09-2016,,,,,,Marc André,,Space Cowboys,,,,,2016-2017,Adultes,,"40 jetons, 90 cartes, 10 tuiles nobles",09/08/2019,
ok,275,Unanimo,R,EXP,EXP,Bon,7,20,3 - 10,Mots,12,1,,,,,Mathieu,11-06-2016,,,,,,,,Cocktail Games,,,,commander un bloc de score,2015-2016,Adultes,,"110 cartes, 1 bloc de score, 4 crayons, 1 règle",09/08/2019,
ok,276,Brouhaha,R,ASS,ASS,Bon,6,30,3 - 42,Animaux,9,1,,,,,,19-01-2016,,,,,,,,Cocktail Games,,,,,2015-2016,Adultes,,"2 cartes règle du jeu, 42 cartes animaux, 4 cartes chasseur",31/07/2019,
,277,Statues,R,EXP,EXP,Bon,10,20,4 - 8,Abstrait,13,1,,,54,,,11-06-2016,,,,,,,,Cocktail Games,,,,,2015-2016,Adultes,,1 sablier + 54 cartes donc 7 cartes num + 1 règle,,
ok,278,Wizards of Mickey,R,REF,REF,Bon,6,20,2,Disney,11,1,oui,,66,,,11-06-2016,,,,,,,,Iello,,,,,2015-2016,Enfants,1 jetons,1 tapis de jeu + 1 liret de règle + 12 jetons + 2 dec de 33 cartes,01/08/2019,
ok,279,Cheval à bascule - Little tikes,E,MOT,MOT,Bon,2,0,1,Animaux,30,2,,,,,,11-06-2016,,,,,,,,,,,,,2015-2016,Enfants,,1 cheval à bascule en plastique rouge,12/08/2019,
,280,Moto - trotteur,E,MOT,MOT,Usé,2,0,1,Véhicules,30,2,,,,,,11-06-2016,,,,,,,,,,,,,2015-2016,Enfants,,1 moto,12/08/2019,
ok,281,"2ème DB ""1"" Normandie",R,REF,REF,Usé,15,240,2,Guerre,20,2,,,,,,11-06-2016,,,,,,,,Jeux Descartes,,,,,2015-2016,Adultes,,"1 map, 2 tableaux de combat, 1 règle du jeu, 159 jetons bleu foncé, 3 jetons bleu clair, 16 pions blocage, 13 pions cloué, 133 pions verts",12/08/2019,
ok,282,Scotland Yard,R,ENQ,REF,Bon,8,60,2 - 6,Police,32,2,,,29,,,06-09-2016,,,,,,,,Ravensburger,,,,prévoir papier Mr X,2016-2017,Adultes,,"1 règle, 1 plateau, 6 pions, 29 cartes départ, 130 tickets, 3 tickets coup double, 5 tablettes à ticket, 1 tablette de déplacement, 1 casquette, 2 anneaux carton",06/08/2019,
ok,283,Kornol - Corn Hole,R,ADR,ADR,Bon,8,30,2 - 8,Bois,150,3,,,,,,11-06-2016,,,,,,,,,,,,,2015-2016,Animations,,"2 plances percées, 4 sacs oranges, 4 sacs noirs",12/08/2019,
ok,284,Captain Sonar,R,EQU,EXP,Bon,10,45,2 - 8,Guerre,35,2,,,,,,26-11-2016,,,,,,,,Matagot,,,,prévoir feutres,2016-2017,Adultes,,24 fiches de poste; 2 plastique transparent; 8 feutres; 2 paravents,06/08/2019,
ok,285,7 Wonders Duel extention Panthéon,R,REF,REF,Bon,10,45,2,Antiquité,15,1,,,,,,26-11-2016,,,,,,,,Asmodée,,,,,2016-2017,Adultes,3 jetons progrés en - ; 3 cartes merveilles en plus,1 plateau; 15 cartes divinité; 1 carte porte; 5 cartes grd temples; 2 cartes merveilles; 10 jetons mythologie; 3 jetons offrande; 1 jetons serpents; 3 jetons progrés; 1 pions minerves; 1 carnet score; 1 aides de jeu,06/08/2019,
ok,286,Star Realms + extensions Crisis,R,REF,REF,Bon,10,45,2,Science Fiction,30,2,,,,,,26-11-2016,,,,,,,,Iello,,,,,2016-2017,Adultes,,128 cartes,02/08/2019,
ok,287,Rush Hour duo,R,PAR,PAR,Bon,8,30,2,Véhicules,21,2,,,,,,26-11-2016,,,,,,,,Thinkfun,,,,,2016-2017,Enfants,,3 plateaux; 32 cartes; 2 voiture; 12 voitures obstacles ,01/08/2019,
ok,288,Bubblee Pop,R,COM,COM,Bon,8,30,2,Science Fiction,18,1,,,,,,26-11-2016,,,,,,,,Bankiiiz Editions,,,,,2016-2017,Adultes,1 piéces noir,régles ; 1 sac 1 plateau ; 96 pions,09/08/2019,
ok,289,Ice Cool,R,ADR,ADR,Abimé,6,30,2 - 4,Banquise,33,2,,,,,,26-11-2016,,,,,,,,Brain Games,,,,,2016-2017,Enfants,4 poissons ( 1 blanc 1 vert 2 rouges),régles; plateau en 5 boites ; 4 manchots ; 16 jetons poissons; 45 cartes poissons; 4 cartes rappel ; 4 cartes identité.,30/07/2019,
ok,290,Roll For the Galaxy extention Ambition,R,REF,REF,Bon,14,45,2 - 5,Science Fiction,30,2,,,,,,26-11-2016,,,,,,,,Gigamic,,,,,2016-2017,Adultes,10 jetons talent en plus,14 tuiles faction; 7 tuiles mondes dépars; 5 tuiles de jeu; 20 tuiles objectifs; 80 jetons talent; 38 dés; régle de jeu,06/08/2019,
ok,291,Petit prince,R,PAR,PAR,Bon,12,45,2 - 6,Science Fiction,40,3,,,,,,04-04-2017,,,,,,,,Ludonaute,,,,,2016-2017,Adultes,,,,
ok,292,Sea of clouds VF,R,REF,REF,Bon,10,45,2 - 4,Pirates,22,2,,,,,,04-04-2017,,,,,,,,Iello,,,,,2016-2017,Adultes,,94 cartes butin ; 65 doublons; 1 pions bateau; 4 plateau capitaine; 1 plateau central; 1 perroquet; 1 pions chapeau; 1 régle; 1 carnet de score,01/09/2019,
ok,294,Kingdomino,R,COM,COM,Bon,8,30,2 - 4,Médiéval,16,1,,,,,,04-04-2017,,,,,,,,Blue Orange Games,,,,,2016-2017,Adultes,,4 tuiles de départ ; 4 chateaux ; 48 dominos ; 8 rois,26/08/2019,
ok,295,Age de Pierre Junior (L'),R,COM,COM,Bon,5,30,2 - 4,Préhistoire,32,2,,,,,,04-04-2017,,,,,,,,Filosofia,,,,,2016-2017,Enfants,,1 régle;  15 tuiles hutte; 14 tuiles forêt ; 2 tuiles chien; 4 figurine + jetons; 20 marchandises: 4 plateaux village.,09/08/2019,
ok,296,Kikou le Coucou,R,ADR,ADR,Bon,4,30,2 - 5,Animaux,21,2,,,,,,04-04-2017,,,,,,,,Haba,,,,,2016-2017,Enfants,1 baton et 1 oeuf.,1 base de nid; 1 figurine; 70 baguettes; 20 oeufs; 1 régle,09/08/2019,
ok,297,Myrmes VF,R,REF,REF,Bon,10,90,2 - 4,Animaux,35,2,,,,,,04-04-2017,,,,,,,,Ystari Games,,,,,2016-2017,Adultes,,1 plateau; 3 dés; 8 tuiles élevage; 8 tuiles sous fourmilieres ; 4 marqueurs de scores; 20 tuiles objectifs; 1 jetons armée; 18 jetons proies; 1 pions 1er joueur; 90 cubes; par joueurs * 4 : 1 plateau indiv; 8 ouvrieres; 4 jetons galerie; 1 marqueurs; 8 nourrices; 5 cubes; 17 tuiles phéromone.,09/08/2019,
ok,298,Not Alone VF,R,EXP,EXP,Bon,10,45,2 - 7,Science Fiction,18,1,,,,,,04-04-2017,,,,,,,,Geek Attitude Games,,,,,2016-2017,Adultes,,1 plateau; 55 cartes lieu; 20 cartes traques; 15 cartes survie; 18 cubes; 1 pions secour; 1 pions assimilation; 1 pions balise; 3 jetons traque,01/08/2019,
ok,299,Deep Sea Adventure,R,REF,REF,Bon,8,30,2 - 6,Mer,20,2,,,,,,04-04-2017,,,,,,,,Oink Games,,,,,2016-2017,Adultes,,,,
,300,Brick Party,R,ADR,ADR,Bon,5,30,2 - 9,Abstrait,18,1,,,,,,04-04-2017,,,,,,,,Iello,,,,,2016-2017,Adultes,,,,
ok,301,New York 1901,R,REF,REF,Bon,8,45,2 - 4,Construction,35,2,,,,,,04-04-2017,,,,Vincent dutrait,,Chenier la salle,,Blue orange,,,,,2016-2017,Adultes,,1 plateau; 4 pions joueurs; 5 cartes bonus; 5 carte defi;65 cartes terrain;5 fiches perso; 16 ouvriers;4 jetons king;12 cartes action; 76 tuiles grattes ciel; 4 tuiles carrée,09/08/2019,
